,Emotions,Path,Processed_Path
0,neutral,/Users/ggocc/OneDrive/Documentos/miniprojeto2/data/raw/Actor_01/03-01-01-01-01-01-01.wav,c:\Users\ggocc\OneDrive\Documentos\miniprojeto2\data\processed_audio\03-01-01-01-01-01-01.wav
1,neutral,/Users/ggocc/OneDrive/Documentos/miniprojeto2/data/raw/Actor_01/03-01-01-01-01-02-01.wav,c:\Users\ggocc\OneDrive\Documentos\miniprojeto2\data\processed_audio\03-01-01-01-01-02-01.wav
2,neutral,/Users/ggocc/OneDrive/Documentos/miniprojeto2/data/raw/Actor_01/03-01-01-01-02-01-01.wav,c:\Users\ggocc\OneDrive\Documentos\miniprojeto2\data\processed_audio\03-01-01-01-02-01-01.wav
3,neutral,/Users/ggocc/OneDrive/Documentos/miniprojeto2/data/raw/Actor_01/03-01-01-01-02-02-01.wav,c:\Users\ggocc\OneDrive\Documentos\miniprojeto2\data\processed_audio\03-01-01-01-02-02-01.wav
4,calm,/Users/ggocc/OneDrive/Documentos/miniprojeto2/data/raw/Actor_01/03-01-02-01-01-01-01.wav,c:\Users\ggocc\OneDrive\Documentos\miniprojeto2\data\processed_audio\03-01-02-01-01-01-01.wav
5,calm,/Users/ggocc/OneDrive/Documentos/miniprojeto2/data/raw/Actor_01/03-01-02-01-01-02-01.wav,c:\Users\ggocc\OneDrive\Documentos\miniprojeto2\data\processed_audio\03-01-02-01-01-02-01.wav
6,calm,/Users/ggocc/OneDrive/Documentos/miniprojeto2/data/raw/Actor_01/03-01-02-01-02-01-01.wav,c:\Users\ggocc\OneDrive\Documentos\miniprojeto2\data\processed_audio\03-01-02-01-02-01-01.wav
7,calm,/Users/ggocc/OneDrive/Documentos/miniprojeto2/data/raw/Actor_01/03-01-02-01-02-02-01.wav,c:\Users\ggocc\OneDrive\Documentos\miniprojeto2\data\processed_audio\03-01-02-01-02-02-01.wav
8,calm,/Users/ggocc/OneDrive/Documentos/miniprojeto2/data/raw/Actor_01/03-01-02-02-01-01-01.wav,c:\Users\ggocc\OneDrive\Documentos\miniprojeto2\data\processed_audio\03-01-02-02-01-01-01.wav
9,calm,/Users/ggocc/OneDrive/Documentos/miniprojeto2/data/raw/Actor_01/03-01-02-02-01-02-01.wav,c:\Users\ggocc\OneDrive\Documentos\miniprojeto2\data\processed_audio\03-01-02-02-01-02-01.wav
